X,Y,Value,VX1,VY1,VX2,VY2,VX3,VY3
0.000885417,0.0442708,353.486,0.0009375,0.0009375,0.00078125,0.04375,0.0453125,0.04375
0.00114583,0.0447917,362.538,0.00109375,0.00125,0.00109375,0.04375,0.0453125,0.0453125
0.00119792,0.0442708,371.054,0.00125,0.00125,0.00109375,0.04375,0.0453125,0.04375
0.00104167,0.0447917,362.203,0.00109375,0.0009375,0.00109375,0.0453125,0.0453125,0.04375
0.000989583,0.0442708,353.82,0.00109375,0.0009375,0.0009375,0.04375,0.0453125,0.04375
0.00494792,0.0192708,594.88,0.005,0.005,0.00484375,0.01875,0.0203125,0.01875
0.00489583,0.0197917,587.369,0.005,0.00484375,0.00484375,0.0203125,0.0203125,0.01875
0.00473958,0.0223958,575.55,0.00484375,0.0046875,0.0046875,0.021875,0.0234375,0.021875
0.00479167,0.0229167,585.457,0.00484375,0.0046875,0.00484375,0.0234375,0.0234375,0.021875
0.00494792,0.0223958,595.141,0.00484375,0.005,0.005,0.021875,0.021875,0.0234375
0.00489583,0.0229167,585.837,0.005,0.00484375,0.00484375,0.0234375,0.0234375,0.021875
0.00473958,0.0213542,574.845,0.00484375,0.0046875,0.0046875,0.021875,0.021875,0.0203125
0.00479167,0.0208333,583.566,0.0046875,0.00484375,0.00484375,0.0203125,0.0203125,0.021875
0.00494792,0.0213542,594.614,0.005,0.005,0.00484375,0.0203125,0.021875,0.021875
0.00489583,0.0208333,584.02,0.00484375,0.00484375,0.005,0.021875,0.0203125,0.0203125
0.00255208,0.0130208,413.07,0.00265625,0.0025,0.0025,0.0125,0.0140625,0.0125
0.00260417,0.0135417,422.306,0.00265625,0.0025,0.00265625,0.0140625,0.0140625,0.0125
0.00270833,0.0135417,422.6,0.00265625,0.0028125,0.00265625,0.0125,0.0140625,0.0140625
0.00276042,0.0130208,428.183,0.0028125,0.0028125,0.00265625,0.0125,0.0140625,0.0125
0.00494792,0.0145833,593.869,0.005,0.005,0.00484375,0.0140625,0.015625,0.0140625
0.00489583,0.0151042,583.837,0.00484375,0.005,0.00484375,0.0140625,0.015625,0.015625
5.20833e-05,0.0604167,304.095,0.00015625,0,0,0.0609375,0.0609375,0.059375
0.000104167,0.0598958,310.982,0,0.00015625,0.00015625,0.059375,0.059375,0.0609375
0.000260417,0.0604167,317.689,0.0003125,0.0003125,0.00015625,0.059375,0.0609375,0.0609375
0.000208333,0.0598958,311.246,0.00015625,0.00015625,0.0003125,0.0609375,0.059375,0.059375
5.20833e-05,0.0583333,304.649,0,0,0.00015625,0.059375,0.0578125,0.0578125
0.000104167,0.0588542,311.844,0.00015625,0.00015625,0,0.0578125,0.059375,0.059375
0.000208333,0.0588542,312.138,0.0003125,0.00015625,0.00015625,0.059375,0.059375,0.0578125
0.000260417,0.0583333,319.775,0.00015625,0.0003125,0.0003125,0.0578125,0.0578125,0.059375
0.00494792,0.00989583,591.897,0.005,0.005,0.00484375,0.009375,0.0109375,0.009375
0.00489583,0.0104167,579.983,0.005,0.00484375,0.00484375,0.0109375,0.0109375,0.009375
0.00479167,0.0104167,579.47,0.00484375,0.00484375,0.0046875,0.009375,0.0109375,0.0109375
0.00473958,0.00989583,570.273,0.0046875,0.0046875,0.00484375,0.0109375,0.009375,0.009375
0.00223958,0.0244792,428.025,0.00234375,0.0021875,0.0021875,0.025,0.025,0.0234375
0.00229167,0.0239583,432.879,0.00234375,0.0021875,0.00234375,0.025,0.0234375,0.0234375
0.00130208,0.0260417,366.803,0.00125,0.00125,0.00140625,0.0265625,0.025,0.0265625
0.00135417,0.0255208,374.326,0.00125,0.00140625,0.00140625,0.025,0.025,0.0265625
0.00161458,0.0223958,387.307,0.0015625,0.0015625,0.00171875,0.0234375,0.021875,0.021875
0.00166667,0.0229167,394.135,0.00171875,0.00171875,0.0015625,0.021875,0.0234375,0.0234375
0.00161458,0.0244792,388.859,0.0015625,0.00171875,0.0015625,0.0234375,0.025,0.025
0.00166667,0.0239583,395.027,0.00171875,0.00171875,0.0015625,0.0234375,0.025,0.0234375
5.20833e-05,0.0244792,303.636,0,0,0.00015625,0.025,0.0234375,0.025
0.000104167,0.0239583,308.929,0,0.00015625,0.00015625,0.0234375,0.0234375,0.025
0.000260417,0.0244792,314.544,0.0003125,0.0003125,0.00015625,0.0234375,0.025,0.025
0.000208333,0.0239583,309.141,0.00015625,0.00015625,0.0003125,0.025,0.0234375,0.0234375
5.20833e-05,0.0223958,303.539,0,0,0.00015625,0.0234375,0.021875,0.021875
0.000104167,0.0229167,308.718,0.00015625,0.00015625,0,0.021875,0.0234375,0.0234375
0.000260417,0.0223958,313.991,0.00015625,0.0003125,0.0003125,0.021875,0.021875,0.0234375
0.000208333,0.0229167,308.921,0.0003125,0.00015625,0.00015625,0.0234375,0.0234375,0.021875
0.00286458,0.0255208,459.394,0.0028125,0.00296875,0.0028125,0.025,0.025,0.0265625
0.00291667,0.0260417,467.735,0.0028125,0.00296875,0.00296875,0.0265625,0.025,0.0265625
0.00458333,0.0239583,570.133,0.00453125,0.0046875,0.00453125,0.0234375,0.0234375,0.025
0.00463542,0.0244792,578.387,0.00453125,0.0046875,0.0046875,0.025,0.0234375,0.025
0.00463542,0.0255208,578.975,0.0046875,0.0046875,0.00453125,0.025,0.0265625,0.025
0.00458333,0.0260417,572.138,0.00453125,0.0046875,0.00453125,0.025,0.0265625,0.0265625
0.00302083,0.0260417,468.14,0.00296875,0.00296875,0.003125,0.0265625,0.025,0.0265625
0.00307292,0.0255208,477.079,0.003125,0.00296875,0.003125,0.0265625,0.025,0.025
0.00114583,0.0239583,358.525,0.00109375,0.00109375,0.00125,0.025,0.0234375,0.0234375
0.00119792,0.0244792,363.882,0.00125,0.00125,0.00109375,0.0234375,0.025,0.025
0.000989583,0.0244792,353.39,0.00109375,0.0009375,0.0009375,0.025,0.025,0.0234375
0.00104167,0.0239583,358.321,0.0009375,0.00109375,0.00109375,0.0234375,0.0234375,0.025
0.00119792,0.0223958,364.032,0.00109375,0.00125,0.00125,0.021875,0.021875,0.0234375
0.00114583,0.0229167,357.709,0.00125,0.00109375,0.00109375,0.0234375,0.0234375,0.021875
0.000989583,0.0223958,350.7,0.0009375,0.0009375,0.00109375,0.0234375,0.021875,0.021875
0.00104167,0.0229167,357.45,0.00109375,0.00109375,0.0009375,0.021875,0.0234375,0.0234375
0.000729167,0.0244792,341.249,0.00078125,0.00078125,0.000625,0.0234375,0.025,0.025
0.000677083,0.0239583,335.349,0.00078125,0.000625,0.000625,0.0234375,0.025,0.0234375
0.000885417,0.0239583,346.927,0.0009375,0.0009375,0.00078125,0.0234375,0.025,0.0234375
0.000833333,0.0244792,341.475,0.0009375,0.00078125,0.00078125,0.025,0.025,0.0234375
0.00494792,0.0307292,595.494,0.00484375,0.005,0.005,0.03125,0.0296875,0.03125
0.00489583,0.0302083,588.963,0.00484375,0.00484375,0.005,0.03125,0.0296875,0.0296875
0.00494792,0.0322917,595.094,0.00484375,0.005,0.005,0.0328125,0.03125,0.0328125
0.00489583,0.0317708,586.68,0.00484375,0.00484375,0.005,0.0328125,0.03125,0.03125
0.00130208,0.0302083,376.109,0.00125,0.00125,0.00140625,0.03125,0.0296875,0.0296875
0.00135417,0.0307292,382.375,0.00140625,0.00140625,0.00125,0.0296875,0.03125,0.03125
5.20833e-05,0.0307292,304.278,0.00015625,0,0,0.03125,0.03125,0.0296875
