X,Y,Value
0.00447917,0.0130208,299.806
0.00416667,0.0130208,296.041
0.00411458,0.0135417,294.448
0.00401042,0.0135417,294.409
0.00395833,0.0130208,294.019
0.00208333,0.0255208,325.982
0.00213542,0.0260417,327.497
0.00208333,0.0244792,324.659
0.00213542,0.0239583,325.584
0.00161458,0.0255208,321.89
0.00166667,0.0260417,324.076
0.00145833,0.0260417,320.94
0.00151042,0.0255208,321.81
0.00135417,0.0244792,317.685
0.00130208,0.0239583,315.886
0.00151042,0.0239583,318.347
0.00145833,0.0244792,317.749
0.00130208,0.0229167,314.127
0.00135417,0.0223958,314.678
0.00151042,0.0229167,315.798
0.00145833,0.0223958,314.697
5.20833e-05,0.0260417,302.938
0.000104167,0.0255208,306.518
0.000208333,0.0255208,306.663
0.000260417,0.0260417,309.361
0.000520833,0.0255208,310.103
0.000572917,0.0260417,312.018
0.000364583,0.0260417,309.442
0.000416667,0.0255208,310.051
5.20833e-05,0.0208333,302.007
0.000104167,0.0213542,304.731
0.000208333,0.0213542,304.827
0.000260417,0.0208333,306.113
0.000520833,0.0223958,307.542
0.000572917,0.0229167,308.404
0.000364583,0.0229167,307.143
0.000416667,0.0223958,307.516
0.000572917,0.0239583,307.771
0.000520833,0.0244792,307.676
0.000364583,0.0239583,307.4
0.000416667,0.0244792,307.688
0.000520833,0.0213542,306.766
0.000572917,0.0208333,307.078
0.000364583,0.0208333,306.152
0.000416667,0.0213542,306.75
0.00239583,0.0239583,328.046
0.00244792,0.0244792,328.661
0.00473958,0.0255208,300.419
0.00479167,0.0260417,300.34
0.00494792,0.0255208,299.751
0.00489583,0.0260417,300.304
0.00479167,0.0239583,300.116
0.00473958,0.0244792,300.606
0.00494792,0.0244792,299.662
0.00489583,0.0239583,300.096
0.00151042,0.0302083,327.127
0.00145833,0.0307292,326.776
0.00494792,0.0286458,298.404
0.00489583,0.0291667,296.153
0.00494792,0.0276042,299.058
0.00489583,0.0270833,298.504
0.00442708,0.0276042,297.976
0.00447917,0.0270833,298.848
0.00348958,0.0255208,318.355
0.00354167,0.0260417,316.852
0.00302083,0.0270833,323.374
0.00307292,0.0276042,321.653
0.00229167,0.0255208,328.573
0.00223958,0.0260417,327.527
0.00239583,0.0255208,328.626
0.00244792,0.0260417,328.756
0.00260417,0.0276042,325.472
0.00255208,0.0270833,324.807
0.00244792,0.0270833,324.8
0.00239583,0.0276042,324.583
0.00239583,0.0286458,323.161
0.00244792,0.0291667,323.025
0.00213542,0.0270833,325.878
0.00208333,0.0276042,325.033
0.00223958,0.0270833,325.891
0.00229167,0.0276042,324.627
0.000885417,0.0307292,320.741
0.000833333,0.0302083,319.332
0.00104167,0.0302083,321.189
0.000989583,0.0307292,320.785
0.000677083,0.0286458,316.331
0.000729167,0.0291667,318.575
0.000833333,0.0291667,318.617
0.000885417,0.0286458,318.547
0.00119792,0.0260417,315.943
0.00114583,0.0255208,313.566
0.00104167,0.0255208,313.502
0.000989583,0.0260417,313.358
0.000729167,0.0255208,312.557
0.000677083,0.0260417,312.058
0.000833333,0.0255208,312.603
0.000885417,0.0260417,313.361
0.000729167,0.0276042,315.759
0.000677083,0.0270833,313.612
0.000833333,0.0276042,315.842
0.000885417,0.0270833,316.329
0.000729167,0.0229167,308.502
0.000677083,0.0223958,308.308
0.000885417,0.0223958,308.664
0.000833333,0.0229167,308.521
0.000677083,0.0213542,307.569
0.000729167,0.0208333,306.95
0.00479167,0.0317708,295.033
0.00473958,0.0322917,293.88
0.00479167,0.0307292,293.369
0.00473958,0.0302083,292.242
0.00494792,0.0338542,298.894
0.00489583,0.0333333,297.752
0.00494792,0.0348958,298.924
0.00489583,0.0354167,297.754
0.00276042,0.000520833,301.24
0.00270833,0.00104167,301.272
0.00286458,0.000520833,301.26
0.00291667,0.00104167,301.291
0.00432292,0.000520833,298.929
0.00427083,0.00104167,297.477
0.00416667,0.00104167,297.462
0.00411458,0.000520833,298.278
0.00494792,0.00208333,298.467
0.00489583,0.00260417,296.382
0.00473958,0.00208333,295.727
0.00479167,0.00260417,296.341
0.00494792,0.00104167,298.948
0.00489583,0.000520833,298.137
0.00479167,0.000520833,298.107
0.00473958,0.00104167,297.268
0.00135417,0.00260417,302.679
0.00130208,0.00208333,300.973
0.00130208,0.00416667,303.64
0.00135417,0.00364583,304.621
0.00119792,0.000520833,300.34
0.00114583,0.00104167,299.541
0.000729167,0.00260417,302.352
0.000677083,0.00208333,301.609
0.000677083,0.00416667,302.996
0.000729167,0.00364583,303.361
0.000364583,0.000520833,301.706
0.000416667,0.00104167,302.51
5.20833e-05,0.000520833,301.046
0.000104167,0.00104167,302.486
0.000208333,0.00104167,302.511
0.000260417,0.000520833,301.704
0.00255208,0.000520833,300.603
0.00260417,0.00104167,301.279
0.00244792,0.000520833,300.584
0.00239583,0.00104167,301.293
0.00239583,0.00208333,305.218
0.00244792,0.00260417,306.191
0.00239583,0.00572917,311.232
0.00244792,0.00520833,311.047
0.00239583,0.00364583,309.953
0.00244792,0.00416667,310.057
0.00473958,0.00729167,296.403
0.00479167,0.00677083,296.739
0.00463542,0.00729167,296.38
0.00458333,0.00677083,296.564
0.00354167,0.00520833,299.958
0.00348958,0.00572917,298.392
0.00354167,0.00729167,300.132
0.00348958,0.00677083,298.489
0.00364583,0.00520833,300.019
0.00369792,0.00572917,300.784
0.00364583,0.00729167,300.197
0.00369792,0.00677083,300.78
0.00385417,0.00833333,299.549
0.00380208,0.00885417,299.5
0.00364583,0.00833333,300.495
0.00369792,0.00885417,299.538
0.00255208,0.00572917,310.165
0.00260417,0.00520833,308.104
0.00322917,0.00416667,299.844
0.00317708,0.00364583,299.524
0.00307292,0.00572917,300.173
0.00302083,0.00520833,300.979
0.00322917,0.00885417,302.595
0.00317708,0.00833333,302.166
0.00333333,0.00885417,302.596
0.00338542,0.00833333,301.213
0.000260417,0.00677083,303.811
0.000208333,0.00729167,303.019
0.000520833,0.00729167,303.286
0.000572917,0.00677083,303.322
0.000364583,0.00677083,303.833
0.000416667,0.00729167,303.297
0.000572917,0.00572917,301.716
0.000520833,0.00520833,302.721
0.000364583,0.00572917,304.259
0.000416667,0.00520833,302.79
